L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
0.20934,3.78193,2.46929,2.26924,1.2579,1.25714,1.9751,0.782412,1.70187,0.0444769,-1.20522,0.459878,0.0780699,0.203993
0.233662,2.57266,1.55421,2.55513,0.499177,1.5371,1.67396,0.782183,0.852517,0.0991011,-0.932068,0.150563,0.262009,0.180236
-1.00629,0.0988565,0.121393,0.244335,-0.906752,1.20562,-0.9478,-0.844885,-0.0633191,-0.136472,-0.342072,-0.366186,-0.0799665,-0.217309
-2.30335,-0.785981,-0.464056,-1.63632,-1.82433,0.107452,-3.06093,-2.34431,0.148241,-0.371042,-0.316959,-0.832034,-0.887698,-0.840636
-2.82336,-1.31748,-0.91235,-1.20059,-2.12723,-0.991408,-1.76569,-3.15416,0.501696,-0.653234,-0.0110894,-1.40184,-1.5647,-1.25934
-3.61261,-1.94703,-1.91964,-0.426568,-2.12329,-1.24306,-0.855798,-3.85357,0.178896,-0.89668,1.27966,-1.89445,-1.77713,-1.34913
-3.63878,-1.72508,-2.36782,0.00790807,-1.31661,-1.02522,-1.82557,-3.41711,-0.847233,-0.305257,2.48146,-1.73617,-1.23227,-1.12293
-2.29481,-0.0660065,-1.08443,0.468855,-0.195189,-0.872839,-3.67624,-2.30132,-1.09178,-0.797099,1.93834,-1.24976,-0.862315,-1.02012
-0.0701934,2.05373,0.718876,0.241799,0.645584,-0.536303,-4.96015,-1.41647,-0.529166,-2.50033,0.154162,-1.16548,-1.07381,-0.921321
2.32908,2.82295,1.45531,0.54004,1.7696,0.0971477,-2.552,-0.0829287,-0.178307,-2.14269,-1.10255,-1.17994,-0.676594,-0.315325
2.99797,2.42207,1.21487,1.30568,2.4277,0.622216,0.230882,1.00473,0.234113,-0.608934,-1.6609,-0.871386,0.0910099,0.365638
2.4803,1.25464,0.616029,1.37304,2.07856,0.852467,1.50192,1.60687,0.682065,0.636081,-1.21871,-0.414453,0.582695,0.661442
1.42325,-0.445944,-0.0533811,1.75862,1.36815,0.943565,2.60921,2.05091,1.23319,1.68523,-0.178822,0.167906,0.896948,0.653963
-0.112558,-1.61299,-0.546794,2.4486,1.04138,0.834688,3.37715,2.18123,1.5196,2.03193,0.331438,0.732603,1.01335,0.564973
-0.72683,-1.47805,-0.4621,2.80415,1.26178,0.71135,3.8454,2.3944,1.1172,1.92116,0.565624,1.21548,1.1338,0.6654
0.149696,-0.335282,-0.247952,2.77907,1.50444,0.46837,3.71904,3.09805,0.799142,1.72233,0.524531,1.57428,1.45267,1.01449
1.68486,0.169666,-0.628768,1.61381,1.31946,-0.316567,2.94728,3.55944,0.569399,1.37525,0.311716,1.44141,1.717,1.15796
2.1004,-0.226621,-1.26355,-0.779554,0.226775,-1.15883,0.287848,2.5854,-0.0128053,0.623284,-0.000349817,0.577454,1.30374,0.760559
