L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-2.49949,-0.252542,-0.259818,-1.42921,-0.154819,0.412022,-0.991188,-2.10403,0.581373,-0.707577,-1.99115,-0.877076,-1.415,-0.780544
-3.79394,-0.77162,-1.04597,-2.07885,-0.436987,0.048657,-0.994201,-3.05168,0.149329,-0.872326,-2.08475,-0.697158,-2.70036,-1.0289
-4.40483,-1.09183,-1.37085,-2.96126,-0.755854,-0.385236,-0.841789,-3.32024,-0.330843,-1.47862,-2.05648,0.673564,-3.72543,-1.0552
-3.63119,-0.630001,-1.23229,-2.79241,-0.562255,-0.126539,-0.958459,-2.72342,-0.700376,-2.06008,-1.71565,1.52334,-3.00626,-0.502597
-1.48901,0.0914743,-0.935675,-1.5804,-0.0873152,-0.253605,-0.31065,-1.20717,-0.643564,-0.739658,-1.10231,1.10763,-0.936115,0.0393236
0.364917,0.194963,-0.50419,0.145188,0.343872,-0.776575,0.793647,0.314105,0.432413,0.553915,-0.228344,0.364026,0.649046,-0.0181655
0.885011,0.0614156,-0.189205,1.51316,0.425553,-0.46947,1.38515,1.02022,1.08115,0.910064,1.04709,-0.275326,1.07472,-0.0578766
0.445838,-0.121891,-0.193077,1.50587,0.0856528,0.0675398,0.304659,1.23564,0.319835,1.13467,1.98953,-0.567656,1.32966,0.346246
0.034057,-0.606345,-0.210715,0.893589,-0.166335,-0.110111,-2.11738,1.08449,-0.574821,1.16282,1.57905,-0.520573,1.89451,0.713585
0.764295,-0.395071,-0.00962833,0.747109,-0.0208978,-0.134826,-2.17334,1.20223,-0.407755,1.33939,0.161644,-0.509049,1.90089,0.92341
2.69294,0.846453,0.997815,1.41514,-0.0621419,0.5612,-0.191792,2.28966,0.49735,0.366947,-0.936157,-0.0615444,1.29314,0.896134
4.06326,1.28516,2.06117,2.70834,-0.435019,1.09848,0.631408,3.3466,1.15184,-1.53958,-0.723007,0.755226,1.19766,0.953441
4.08101,0.5395,1.93995,3.69394,-0.72642,1.20103,0.291008,3.46131,1.12872,-2.19096,0.451553,1.08067,1.10386,1.31952
3.85949,0.23916,1.5471,3.41548,-0.576678,1.41305,1.00278,3.07122,0.518946,-1.00561,1.19062,1.23637,0.558604,1.46888
2.83144,0.470788,1.28108,1.42676,0.276494,1.36975,1.83886,1.83404,-0.378003,0.120337,1.02433,1.1499,0.147031,0.910531
-0.121555,-0.0936701,0.130028,-1.74141,0.904279,0.188877,0.483205,-0.568864,-1.14323,-0.0984626,0.0997635,0.181635,-0.237838,-0.241751
-2.63404,-0.856543,-1.3229,-2.8846,0.608959,-1.03339,0.172807,-2.0685,-1.17349,0.507477,0.0860571,-1.28955,0.0313548,-0.923271
-2.6859,-0.321662,-1.74673,-1.88568,0.479037,-0.994642,1.20546,-1.99955,-0.818185,1.90444,0.781954,-2.23026,0.576712,-1.11132
-2.16152,0.581382,-1.49084,-1.3035,0.620616,-0.640872,0.144488,-2.16697,-0.537119,1.29721,-0.195631,-2.09465,-0.17367,-1.14176
-1.65563,0.357509,-0.916998,-0.385505,0.298647,-0.756861,-0.443414,-1.73545,-0.0207212,0.513501,-1.55168,-1.23089,-0.980604,-0.406354
-0.188976,-0.599307,-0.115286,0.375437,0.131758,-0.564775,0.27551,0.50457,0.347865,1.17095,-1.32352,-0.38497,-0.227684,0.978094
1.57597,-0.823256,0.566182,0.314028,0.00766016,0.120691,-0.656675,2.33118,0.384666,0.919609,0.0377618,-0.0171693,0.225312,1.65663
3.02686,-0.0432103,1.16423,1.17585,0.276661,0.281334,-0.278087,2.83134,0.563076,0.604392,1.62634,0.52841,0.340051,1.20128
3.18119,0.832825,1.08371,2.60389,0.478335,-0.421307,2.15264,2.51385,0.791939,1.0244,2.33451,0.654309,0.952741,0.462819
1.58017,1.1077,0.0916093,2.33409,0.0819629,-0.658371,1.82484,1.3254,0.722755,0.548611,1.72132,-0.293586,1.01874,0.250881
-0.114811,0.917184,-0.512579,1.00495,0.458688,0.328532,-0.338696,0.269695,0.539954,-0.453035,1.03048,-0.530393,0.799402,0.6362
-0.3441,0.533557,0.0184294,1.13363,1.21658,1.17245,-0.306942,0.371725,0.257234,-1.04211,1.24966,0.697879,0.950599,0.942965
0.506257,-0.0373876,1.03384,1.63513,1.27428,1.10759,1.9985,1.15413,-0.284916,-0.549822,1.27074,2.28032,1.44306,0.667158
0.681668,0.00929229,1.20475,1.50536,0.465389,0.708887,3.6242,0.938737,-0.372554,0.569203,0.522866,1.8181,1.68894,-0.224157
-0.12632,0.408673,0.222658,1.864,-0.502747,0.136636,2.74648,-0.124006,0.160411,0.959773,0.336023,-0.552839,1.17285,-0.980132
-0.535869,0.540931,-0.235312,1.19268,-0.90671,-0.829744,0.455688,-0.578924,0.404321,0.704572,0.654994,-1.11613,-0.305348,-1.32494
-0.324032,0.699299,0.0516345,-0.256172,-0.740396,-1.56954,-1.26665,-0.542336,0.0171895,0.170307,0.733024,0.0721825,-1.59303,-1.2404
0.150297,0.77905,0.129172,-0.560649,-0.0297125,-0.977712,-0.44578,-0.0463187,-0.370248,0.0224486,1.37555,0.846274,-1.30721,-0.48867
0.491861,1.00391,0.283847,-0.864644,0.320659,0.0718705,0.518005,0.308776,-0.383821,-0.238546,1.33977,0.855678,-0.649453,-0.193664
-0.0193483,0.915531,0.16436,-0.866919,-0.0207519,0.231201,-1.11968,-0.537857,-0.16619,-1.39869,-0.143035,0.0230854,-0.547526,-0.574489
-0.79863,0.087443,-0.669183,0.208364,-0.261252,0.0838333,-1.86072,-1.71101,-0.0453482,-1.47286,-0.972797,-1.23753,-0.441918,-0.30408
-1.58397,-0.406761,-1.48618,-0.00285691,-0.663341,0.299862,-1.45482,-2.71683,-0.348339,-0.49942,-1.39692,-2.20884,-0.824353,0.283583
-2.17632,-0.390882,-1.364,-1.59624,-0.756996,0.524759,-1.01464,-3.35104,-0.548594,-0.21946,-2.36777,-1.95751,-1.643,0.484495
-1.08176,-0.517961,-0.31265,-2.18557,0.437543,0.646959,0.745066,-2.74331,-0.621077,-0.0230882,-2.83446,-0.621673,-1.49737,0.56294
1.01627,-0.39005,0.635904,-0.933464,2.08628,0.916658,2.2673,-1.26452,-0.713824,0.669435,-2.22754,0.156541,0.109359,0.373204
0.955341,0.120834,0.668033,-0.434509,2.45548,0.658621,1.49452,-0.693735,-0.377439,-0.175566,-1.38643,0.42702,0.935954,-0.386998
-1.98952,-0.163342,-0.234896,-2.35565,1.44963,-0.45183,-1.75365,-1.88549,0.149246,-3.10028,-0.913199,1.00097,-0.79191,-1.17077
-3.51944,-1.15869,-1.14176,-2.7894,0.262973,-1.21035,-3.19184,-2.26924,0.27438,-3.31012,-0.366935,1.03361,-2.38926,-1.13924
-1.95397,-1.20711,-1.40317,-1.38156,-0.56413,-0.636127,-1.34618,-0.550245,0.149134,-0.169842,0.371569,0.218935,-1.39633,-0.382692
-0.918274,-0.59594,-1.18246,-0.644139,-1.06931,0.321632,-1.06664,0.556598,0.149424,0.960145,0.605114,-0.426668,-0.279207,0.328105
-1.26365,-0.889793,-0.659184,-0.519844,-1.23568,0.407917,-3.17516,0.126308,-0.15517,-0.718748,0.0445533,-0.343586,-0.95601,0.439494
-0.479728,-1.06147,0.0142294,-0.374271,-1.10859,0.0717504,-3.77453,0.228617,-0.493003,-1.56366,-0.552451,-0.280099,-0.936411,0.112448
1.23625,-0.211149,0.785212,-0.178951,-1.2175,-0.313455,-2.6645,1.18546,-0.453205,-0.83954,-0.590955,-0.181447,-0.016851,-0.34704
1.18491,0.168138,1.23105,-1.06005,-1.4343,-0.852959,-2.01344,1.44293,-0.251437,0.289509,-0.00796412,0.500932,0.263502,-0.39582
-0.306578,-0.0395862,1.20935,-1.92973,-1.64657,-1.0312,-1.00069,0.761188,0.38474,1.28639,0.945257,1.42442,0.25368,-0.185461
-1.359,-0.200247,0.877389,-1.65583,-1.74814,-0.669264,0.330923,-0.329036,0.805011,0.771508,1.33105,1.89222,-0.245301,-0.581084
-0.961864,0.100542,0.633043,-0.489009,-0.80916,0.25713,1.48852,-0.836126,0.653279,-0.116095,1.17393,1.43125,-0.0920937,-0.818383
0.139144,0.817047,0.685071,1.16408,0.149214,0.927076,1.74693,-0.611706,0.691725,-0.917051,0.682409,0.779244,0.524396,-0.390701
