"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.0374,0,0.0643,0,0,0,0,0.0395,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0.0324,0,0,0,0,0,0
"L_supfrontal",0,0.0328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0.0363,0.0398,0,0,0,0,0,0,0,0,0.0331,0,0,0,0.034,0,0,0.0243,0,0,0,0,0,0,0.0296,0,0
"L_postcingulate",0,0,0,0.0403,0.0759,0,0,0,0,0,0.0525,0,0,0,0,0.053,0,0,0.0738,0,0.0261,0,0,0,0.0536,0,0,0
"L_mPFC",0.0368,0,0,0,0.0342,0,0,0,0,0,0,0,0.0626,0,0.0393,0.0287,0,0,0,0,0,0,0,0,0,0,0.0601,0
"L_midtemporal",0,0,0,0,0,0.0388,0,0,0,0,0,0,0,0.0497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475
"L_antcingulate",0,0,0,0,0,0,0.0383,0,0,0.074,0.0597,0,0,0,0,0,0,0,0,0,0,0,0,0.0596,0.0577,0,0,0
"R_precuneus",0,0.0712,0,0,0,0.1453,0,0.0405,0,0,0,0.0731,0,0,0,0.0683,0,0,0,0.1606,0,0,0,0,0.0381,0.0725,0,0
"R_supfrontal",0,0.0365,0,0,0,0,0,0,0.0374,0,0,0,0,0,0,0.0332,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0.0481,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0.0437,0,0,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0.0336,0,0,0,0.0447,0,0,0,0,0,0,0,0,0,0,0,0,0.0833
"R_angular",0,0,0,0,0,0,0,0,0,0,0.0472,0.0314,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0
"R_mPFC",0.0249,0,0,0,0,0.0328,0,0,0,0.0276,0,0,0.0368,0,0.0227,0,0,0,0,0,0,0,0,0.0243,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0,0.0268,0,0,0,0,0.044,0.0397,0,0,0,0,0,0,0,0.0259,0,0,0,0,0.043,0
