"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.6414,0,-0.343,0,0,0,0,-0.3769,0,0,0,0.1803,0,0,0,0,0.5992,0.1018,0,0,0,0.5426,0,0,0,-0.2517,0,-0.0855
"L_supfrontal",0,0.6178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",-0.1318,0,0.7362,0,0,0,0,-0.2388,0,0,0,-0.271,0,0,0,0,0,0,0,0,0.1335,0.4986,0,0,0,0.3525,0,0
"L_postcingulate",0,0,0,0.7605,0,0,0,0.1456,0,0,-0.5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584,0,0,0
"L_mPFC",-0.1557,0,0,0,0.743,0,0,0,0,-0.1552,0,0,-0.3401,0,0.268,0,0,0,0,0,0,0,0,0.2137,0,0,0.4978,0
"L_midtemporal",0,0,0,0,0,0.6404,0,0.1598,0,0,0,0,0,-0.4166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6073
"L_antcingulate",-0.223,0,0,0,-0.0742,0,0.7232,0,0,-0.1761,0,0,0,-0.1006,0.3176,0,0,0.1544,0,0,0,0,0,0.4081,0,0,0,0
"R_precuneus",0,0,0,-0.2345,0,0,0,0.6507,0,0,0,-0.2229,0,0,0,0,0,0,0,0,0,0,0.146,0,0.3062,0.3247,0.2151,0
"R_supfrontal",0.2733,-0.5926,0,0,0,0,0,0,0.7695,0,0,0,0,0,-0.4588,0.8271,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0.6463,0,0,0,0,0.2094,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulate",0,0,0,0,0,-0.1424,0,0,0,0,0.7962,0,0,0,0,0,0,0,0,0,0,0,0.2229,0,0,0,0,0
"R_angular",0,-0.2075,0,0,0,0,0,0,0,0,0,0.6619,0,0,0,0,0,0,0,0,0,0,0.3325,0,0.1755,0,0,0
"R_mPFC",0,0,0,0.1268,0,0,0,0,0,-0.2692,0,0,0.6604,0,0,0,0,0,0,0.167,0,0,0,0.3569,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0.152,-0.3575,0,0,0,0,-0.2948,0.6973,0,0,0,0,0,0,0,0.3115,0,0,0,0.1459,0.397,0
