"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",1.5347,0.3151,0.5911,1.3857,0.6883,0.3661,0.4694,0.8496,0.4352,0.6343,1.0467,0.9085,0.5476,0.4645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.3151,0.5822,0.3869,0.6751,0.6611,0.277,0.2767,0.0634,0.4035,0.4393,0.409,0.4523,0.3884,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",0.5911,0.3869,0.9505,0.4242,1.2606,0.5467,0.5123,0.2617,0.4322,0.7267,0.2966,0.7514,0.7462,0.3957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",1.3857,0.6751,0.4242,10.055,0.6358,0.5096,0.5611,0.4914,0.7499,0.7341,4.3131,1.098,0.5871,0.9487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",0.6883,0.6611,1.2606,0.6358,3.0872,0.8386,0.6439,0.1322,0.4632,0.9587,0.1598,0.853,1.5287,0.5636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",0.3661,0.277,0.5467,0.5096,0.8386,0.4532,0.3838,0.1513,0.3064,0.5735,0.311,0.4755,0.5226,0.3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",0.4694,0.2767,0.5123,0.5611,0.6439,0.3838,1.7525,0.3873,0.5445,1.0202,0.5517,0.703,0.5151,0.3878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",0.8496,0.0634,0.2617,0.4914,0.1322,0.1513,0.3873,0.7753,0.3416,0.5673,0.6416,0.6447,0.2914,0.3681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",0.4352,0.4035,0.4322,0.7499,0.4632,0.3064,0.5445,0.3416,0.6859,0.7703,0.6469,0.7419,0.4178,0.4353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",0.6343,0.4393,0.7267,0.7341,0.9587,0.5735,1.0202,0.5673,0.7703,1.8139,0.6939,0.9601,0.8351,0.6266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",1.0467,0.409,0.2966,4.3131,0.1598,0.311,0.5517,0.6416,0.6469,0.6939,2.5961,0.9427,0.3066,0.7331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",0.9085,0.4523,0.7514,1.098,0.853,0.4755,0.703,0.6447,0.7419,0.9601,0.9427,1.5293,0.6186,0.7877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",0.5476,0.3884,0.7462,0.5871,1.5287,0.5226,0.5151,0.2914,0.4178,0.8351,0.3066,0.6186,1.1536,0.4714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",0.4645,0.308,0.3957,0.9487,0.5636,0.3509,0.3878,0.3681,0.4353,0.6266,0.7331,0.7877,0.4714,0.6682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1544,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1647,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1045,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4707,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3521,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6314,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1787,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3133,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7932,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2347,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2913,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1267
