"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",1,0.1727,0.6981,0.5242,0.5287,0.5269,0.522,0.7051,0.0915,0.3776,0.4335,0.4318,0.5269,0.5841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.1727,1,0.4107,0.2514,0.2438,0.3061,0.2713,-0.1165,0.6449,0.1259,0.0408,0.2019,0.1703,-0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",0.6981,0.4107,1,0.3967,0.4076,0.4437,0.4687,0.4613,0.1646,0.3377,0.2788,0.6027,0.3085,0.5166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",0.5242,0.2514,0.3967,1,0.3854,0.2737,0.2225,0.5414,0.2814,0.0554,0.8797,0.3167,0.3497,0.3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",0.5287,0.2438,0.4076,0.3854,1,0.437,0.4521,0.2595,0.0095,0.0896,0.3128,0.2105,0.3591,0.3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",0.5269,0.3061,0.4437,0.2737,0.437,1,0.3897,0.1093,0.1433,0.1896,0.2086,0.0874,0.4699,0.5986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",0.522,0.2713,0.4687,0.2225,0.4521,0.3897,1,0.2415,0.0458,0.6882,0.1077,0.2576,0.3729,0.4442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",0.7051,-0.1165,0.4613,0.5414,0.2595,0.1093,0.2415,1,0.1173,0.1932,0.5763,0.6622,0.3495,0.5387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",0.0915,0.6449,0.1646,0.2814,0.0095,0.1433,0.0458,0.1173,1,0.071,0.1504,0.2263,0.0567,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",0.3776,0.1259,0.3377,0.0554,0.0896,0.1896,0.6882,0.1932,0.071,1,-0.0041,0.1938,0.4019,0.3573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",0.4335,0.0408,0.2788,0.8797,0.3128,0.2086,0.1077,0.5763,0.1504,-0.0041,1,0.2884,0.3118,0.2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",0.4318,0.2019,0.6027,0.3167,0.2105,0.0874,0.2576,0.6622,0.2263,0.1938,0.2884,1,0.2107,0.4891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",0.5269,0.1703,0.3085,0.3497,0.3591,0.4699,0.3729,0.3495,0.0567,0.4019,0.3118,0.2107,1,0.4982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",0.5841,-0.0078,0.5166,0.3305,0.3466,0.5986,0.4442,0.5387,0.0057,0.3573,0.2991,0.4891,0.4982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1113,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1167,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2674,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2635,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1597,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2619,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4824,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4265,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3163,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2763,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2691
