"lhs","op","rhs","count.group","count.ind"
"L_precuneus","~","L_angular",12,0
"L_angular","~","L_angularlag",12,0
"L_precuneus","~","L_angularlag",12,0
"L_antcingulate","~","L_antcingulatelag",12,0
"L_midtemporal","~","L_midtemporallag",12,0
"L_mPFC","~","L_mPFClag",12,0
"L_postcingulate","~","L_postcingulatelag",12,0
"L_mPFC","~","L_precuneus",12,0
"L_mPFC","~","L_precuneuslag",12,0
"L_precuneus","~","L_precuneuslag",12,0
"R_supfrontal","~","L_supfrontal",12,0
"L_supfrontal","~","L_supfrontallag",12,0
"R_supfrontal","~","L_supfrontallag",12,0
"L_angular","~","R_angular",12,0
"R_precuneus","~","R_angular",12,0
"L_angular","~","R_angularlag",12,0
"R_angular","~","R_angularlag",12,0
"R_precuneus","~","R_angularlag",12,0
"L_antcingulate","~","R_antcingulate",12,0
"R_mPFC","~","R_antcingulate",12,0
"L_antcingulate","~","R_antcingulatelag",12,0
"R_antcingulate","~","R_antcingulatelag",12,0
"R_mPFC","~","R_antcingulatelag",12,0
"L_midtemporal","~","R_midtemporal",12,0
"L_midtemporal","~","R_midtemporallag",12,0
"R_midtemporal","~","R_midtemporallag",12,0
"R_midtemporal","~","R_mPFC",12,0
"R_midtemporal","~","R_mPFClag",12,0
"R_mPFC","~","R_mPFClag",12,0
"L_postcingulate","~","R_postcingulate",12,0
"R_precuneus","~","R_postcingulate",12,0
"L_postcingulate","~","R_postcingulatelag",12,0
"R_postcingulate","~","R_postcingulatelag",12,0
"L_precuneus","~","R_precuneus",12,0
"R_midtemporal","~","R_precuneus",12,0
"L_precuneus","~","R_precuneuslag",12,0
"R_midtemporal","~","R_precuneuslag",12,0
"R_precuneus","~","R_precuneuslag",12,0
"R_supfrontal","~","R_supfrontallag",12,0
"L_precuneus","~","R_angular",0,7
"R_mPFC","~","L_mPFC",0,5
"L_precuneus","~","R_angularlag",0,5
"L_mPFC","~","R_mPFC",0,5
"R_angular","~","R_supfrontal",0,5
"R_postcingulate","~","R_supfrontal",0,5
"L_angular","~","L_antcingulate",0,4
"L_angular","~","L_supfrontal",0,4
"R_precuneus","~","R_mPFC",0,4
"L_mPFC","~","R_mPFClag",0,4
"R_mPFC","~","R_precuneus",0,4
"R_midtemporal","~","R_supfrontal",0,4
"L_supfrontal","~","L_angular",0,3
"L_mPFC","~","L_antcingulate",0,3
"L_postcingulate","~","L_antcingulate",0,3
"L_angular","~","L_midtemporal",0,3
"R_mPFC","~","L_midtemporal",0,3
"R_midtemporal","~","L_mPFC",0,3
"L_antcingulate","~","L_mPFClag",0,3
"R_midtemporal","~","L_mPFClag",0,3
"R_mPFC","~","L_mPFClag",0,3
"L_antcingulate","~","L_postcingulate",0,3
"L_precuneus","~","L_postcingulate",0,3
"R_precuneus","~","L_postcingulatelag",0,3
"R_supfrontal","~","L_precuneus",0,3
"L_postcingulate","~","L_supfrontal",0,3
"L_midtemporal","~","R_angular",0,3
"L_mPFC","~","R_angular",0,3
"L_supfrontal","~","R_angular",0,3
"R_antcingulate","~","R_angular",0,3
"R_angular","~","R_antcingulate",0,3
"L_mPFC","~","R_midtemporal",0,3
"R_angular","~","R_midtemporal",0,3
"L_postcingulate","~","R_mPFC",0,3
"R_angular","~","R_postcingulate",0,3
"R_precuneus","~","R_postcingulatelag",0,3
"L_angular","~","R_precuneus",0,3
"R_antcingulate","~","L_antcingulate",0,2
"L_mPFC","~","L_antcingulatelag",0,2
"R_postcingulate","~","L_antcingulatelag",0,2
"L_antcingulate","~","L_midtemporal",0,2
"L_precuneus","~","L_midtemporal",0,2
"L_antcingulate","~","L_midtemporallag",0,2
"L_precuneus","~","L_midtemporallag",0,2
"L_angular","~","L_mPFC",0,2
"L_midtemporal","~","L_mPFC",0,2
"L_angular","~","L_postcingulate",0,2
"L_supfrontal","~","L_postcingulate",0,2
"R_precuneus","~","L_postcingulate",0,2
"R_supfrontal","~","L_postcingulate",0,2
"R_antcingulate","~","L_postcingulatelag",0,2
"R_mPFC","~","L_postcingulatelag",0,2
"L_antcingulate","~","L_precuneus",0,2
"L_midtemporal","~","L_precuneus",0,2
"R_mPFC","~","L_precuneus",0,2
"R_postcingulate","~","L_precuneus",0,2
"L_angular","~","L_precuneuslag",0,2
"L_midtemporal","~","L_precuneuslag",0,2
"R_supfrontal","~","L_precuneuslag",0,2
"L_antcingulate","~","L_supfrontal",0,2
"L_mPFC","~","L_supfrontal",0,2
"L_angular","~","L_supfrontallag",0,2
"L_postcingulate","~","L_supfrontallag",0,2
"L_antcingulate","~","R_angular",0,2
"R_midtemporal","~","R_angular",0,2
"R_supfrontal","~","R_angular",0,2
"L_supfrontal","~","R_angularlag",0,2
"R_antcingulate","~","R_angularlag",0,2
"L_mPFC","~","R_antcingulate",0,2
"L_mPFC","~","R_antcingulatelag",0,2
"R_angular","~","R_antcingulatelag",0,2
"L_precuneus","~","R_midtemporal",0,2
"R_postcingulate","~","R_midtemporal",0,2
"L_mPFC","~","R_midtemporallag",0,2
"L_antcingulate","~","R_postcingulate",0,2
