"L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
12,0,12,0,0,2,0,12,0,0,0,5,0,0,0,0,12,3,0,2,1,12,0,0,0,7,0,2
1,12,1,1,0,1,0,0,0,0,1,2,0,0,1,0,3,2,0,1,0,0,0,1,0,3,0,0
2,2,12,0,1,1,1,2,0,0,1,12,0,0,1,4,0,2,2,3,4,3,2,1,1,12,1,0
0,2,0,12,1,1,0,1,0,1,12,0,1,0,0,3,1,0,1,1,3,0,1,0,12,0,3,0
12,1,0,0,12,0,2,0,0,2,0,0,4,2,12,2,0,0,0,0,3,1,0,2,1,3,5,3
2,0,1,0,0,12,0,1,0,0,0,0,0,12,2,1,1,0,2,0,0,0,0,1,0,3,1,12
1,1,0,1,3,2,12,0,0,12,2,0,0,1,2,2,0,3,1,2,0,1,2,12,2,2,1,0
0,1,1,3,1,1,0,12,0,0,3,12,1,0,0,1,1,2,0,1,0,0,1,0,12,12,4,0
2,12,0,0,1,0,1,1,12,0,0,1,0,0,3,12,1,2,1,0,1,0,0,1,0,2,1,1
0,0,0,2,0,0,0,2,2,12,1,2,0,0,1,0,1,0,0,0,2,2,2,0,2,3,1,0
0,0,0,0,0,1,2,1,2,1,12,0,0,0,2,0,1,1,0,0,1,1,5,0,0,1,0,2
0,1,0,0,0,1,0,0,2,2,1,12,1,1,1,0,1,0,1,1,0,0,5,3,3,0,0,3
1,0,0,2,3,1,0,1,1,12,1,1,12,1,2,0,1,1,5,3,1,4,0,12,2,1,0,0
0,1,0,0,3,0,1,12,2,0,0,0,12,12,0,0,0,0,3,0,1,12,4,0,1,2,12,0
